epoch,step,train_loss,train_mse,train_r2,validation_loss,validation_mse,validation_r2
0,11,,,,2.9870216846466064,2.9870216846466064,-11.777310371398926
0,11,3.505903959274292,3.505904197692871,-15.754538536071777,,,
1,23,,,,2.9776792526245117,2.977679491043091,-11.745841026306152
1,23,3.4940545558929443,3.4940547943115234,-15.652618408203125,,,
2,35,,,,2.9678664207458496,2.9678666591644287,-11.709240913391113
2,35,3.482274055480957,3.482274055480957,-15.661837577819824,,,
3,47,,,,2.9579169750213623,2.9579169750213623,-11.669758796691895
3,47,3.4736578464508057,3.4736580848693848,-15.570892333984375,,,
4,59,,,,2.9482083320617676,2.9482083320617676,-11.629905700683594
4,59,3.4674289226531982,3.467428684234619,-15.543222427368164,,,
5,71,,,,2.9385056495666504,2.9385056495666504,-11.588099479675293
5,71,3.453859806060791,3.453860282897949,-15.466217041015625,,,
6,83,,,,2.9285857677459717,2.928586006164551,-11.547682762145996
6,83,3.448341131210327,3.4483413696289062,-15.464774131774902,,,
7,95,,,,2.9176523685455322,2.9176526069641113,-11.503329277038574
7,95,3.430116891860962,3.430117130279541,-15.389999389648438,,,
8,107,,,,2.9056289196014404,2.9056291580200195,-11.451590538024902
8,107,3.419722318649292,3.419722080230713,-15.29929256439209,,,
9,119,,,,2.8923370838165283,2.8923373222351074,-11.394317626953125
9,119,3.4025685787200928,3.402568817138672,-15.220664978027344,,,
10,131,,,,2.8774893283843994,2.8774893283843994,-11.3322114944458
10,131,3.3810014724731445,3.3810014724731445,-15.19333553314209,,,
11,143,,,,2.8617217540740967,2.8617217540740967,-11.266095161437988
11,143,3.381765604019165,3.381765365600586,-15.101889610290527,,,
12,155,,,,2.844419002532959,2.844419240951538,-11.192222595214844
12,155,3.3601162433624268,3.360116481781006,-15.011462211608887,,,
13,167,,,,2.824479341506958,2.824479579925537,-11.107440948486328
13,167,3.331421375274658,3.331421136856079,-14.802044868469238,,,
14,179,,,,2.8022522926330566,2.8022522926330566,-11.008050918579102
14,179,3.3105878829956055,3.3105876445770264,-14.6533842086792,,,
15,191,,,,2.7767813205718994,2.7767813205718994,-10.891201972961426
15,191,3.2755062580108643,3.2755067348480225,-14.535300254821777,,,
16,203,,,,2.746581554412842,2.746581554412842,-10.75445556640625
16,203,3.2532107830047607,3.2532105445861816,-14.370950698852539,,,
17,215,,,,2.7113020420074463,2.7113020420074463,-10.600046157836914
17,215,3.193922519683838,3.193922519683838,-14.146944046020508,,,
18,227,,,,2.671372413635254,2.671372652053833,-10.422683715820312
18,227,3.164956569671631,3.16495680809021,-13.823636054992676,,,
19,239,,,,2.6265435218811035,2.6265432834625244,-10.22368049621582
19,239,3.117215394973755,3.117215871810913,-13.55179500579834,,,
20,251,,,,2.5755081176757812,2.5755081176757812,-9.993806838989258
20,251,3.053086042404175,3.053086042404175,-13.429468154907227,,,
21,263,,,,2.516392946243286,2.5163931846618652,-9.727042198181152
21,263,2.995710849761963,2.9957101345062256,-12.867413520812988,,,
22,275,,,,2.44655704498291,2.44655704498291,-9.412452697753906
22,275,2.896428108215332,2.896428108215332,-12.459725379943848,,,
23,287,,,,2.3660175800323486,2.3660175800323486,-9.047965049743652
23,287,2.8620805740356445,2.8620805740356445,-12.643697738647461,,,
24,299,,,,2.2762110233306885,2.2762110233306885,-8.642977714538574
24,299,2.7741494178771973,2.774149179458618,-11.982931137084961,,,
25,311,,,,2.17972469329834,2.179724931716919,-8.19930648803711
25,311,2.683418035507202,2.6834182739257812,-11.391318321228027,,,
26,323,,,,2.0742781162261963,2.074277877807617,-7.719619274139404
26,323,2.5475594997406006,2.5475592613220215,-10.425371170043945,,,
27,335,,,,1.9633809328079224,1.9633809328079224,-7.226935863494873
27,335,2.462299346923828,2.462299346923828,-10.30686092376709,,,
28,347,,,,1.8464456796646118,1.8464456796646118,-6.7100138664245605
28,347,2.341883897781372,2.341883897781372,-9.640421867370605,,,
29,359,,,,1.7294199466705322,1.7294201850891113,-6.2022013664245605
29,359,2.2220447063446045,2.2220447063446045,-9.063735961914062,,,
30,371,,,,1.6127341985702515,1.612734317779541,-5.708617210388184
30,371,2.0641555786132812,2.0641555786132812,-8.450370788574219,,,
31,383,,,,1.4990465641021729,1.4990466833114624,-5.224705696105957
31,383,1.9775383472442627,1.9775382280349731,-7.898568630218506,,,
32,395,,,,1.3936305046081543,1.3936305046081543,-4.790651798248291
32,395,1.8917797803878784,1.8917795419692993,-7.861863613128662,,,
33,407,,,,1.2935900688171387,1.2935901880264282,-4.379419326782227
33,407,1.7261617183685303,1.7261617183685303,-7.137889385223389,,,
34,419,,,,1.2019392251968384,1.201939344406128,-3.9948441982269287
34,419,1.7116369009017944,1.7116371393203735,-7.195570468902588,,,
35,431,,,,1.1195147037506104,1.1195148229599,-3.6505279541015625
35,431,1.5924445390701294,1.592444658279419,-6.503570079803467,,,
36,443,,,,1.043745517730713,1.043745517730713,-3.3383121490478516
36,443,1.5941929817199707,1.5941931009292603,-6.780303478240967,,,
37,455,,,,0.9754443764686584,0.9754444360733032,-3.05674409866333
37,455,1.5108028650283813,1.5108028650283813,-6.181467533111572,,,
38,467,,,,0.9122186303138733,0.9122186303138733,-2.8085296154022217
38,467,1.485108733177185,1.4851089715957642,-6.411679267883301,,,
39,479,,,,0.8545042872428894,0.8545042872428894,-2.5726077556610107
39,479,1.297728419303894,1.297728419303894,-6.096829891204834,,,
40,491,,,,0.8013756275177002,0.8013756275177002,-2.348489284515381
40,491,1.2716089487075806,1.2716089487075806,-5.3444414138793945,,,
41,503,,,,0.7528059482574463,0.7528060078620911,-2.1397242546081543
41,503,1.1969300508499146,1.196930170059204,-5.001567363739014,,,
42,515,,,,0.7123412489891052,0.71234130859375,-1.953832983970642
42,515,1.23194420337677,1.23194420337677,-5.486842632293701,,,
43,527,,,,0.6760005950927734,0.6760005950927734,-1.7850677967071533
43,527,1.1790621280670166,1.1790621280670166,-4.943562984466553,,,
44,539,,,,0.6453264355659485,0.6453264355659485,-1.640055537223816
44,539,1.1831886768341064,1.183188796043396,-5.670865058898926,,,
45,551,,,,0.6138545274734497,0.6138545870780945,-1.4913480281829834
45,551,1.0811536312103271,1.0811537504196167,-4.879067897796631,,,
46,563,,,,0.5858539342880249,0.5858539938926697,-1.3547719717025757
46,563,1.0880073308944702,1.0880073308944702,-4.9179253578186035,,,
47,575,,,,0.5644702911376953,0.5644702911376953,-1.2451746463775635
47,575,1.1092101335525513,1.1092102527618408,-5.462159633636475,,,
48,587,,,,0.5465535521507263,0.5465535521507263,-1.1481512784957886
48,587,1.0185890197753906,1.0185890197753906,-5.202622890472412,,,
49,599,,,,0.531410813331604,0.531410813331604,-1.0580368041992188
49,599,1.0717747211456299,1.0717747211456299,-5.518765926361084,,,
50,611,,,,0.5164346098899841,0.5164346098899841,-0.9639415740966797
50,611,1.0653413534164429,1.0653413534164429,-5.42299222946167,,,
51,623,,,,0.5048834681510925,0.5048834681510925,-0.8802938461303711
51,623,1.0064812898635864,1.006481409072876,-4.7279276847839355,,,
52,635,,,,0.4928808808326721,0.4928809106349945,-0.8039207458496094
52,635,1.034898042678833,1.0348981618881226,-4.450496673583984,,,
53,647,,,,0.4837535321712494,0.483753502368927,-0.7421032190322876
53,647,1.0663477182388306,1.0663477182388306,-5.397809028625488,,,
54,659,,,,0.4725249111652374,0.47252488136291504,-0.6720863580703735
54,659,0.9437599778175354,0.943760097026825,-4.574995517730713,,,
55,671,,,,0.46247705817222595,0.46247705817222595,-0.609904944896698
55,671,1.080645203590393,1.0806453227996826,-4.927842140197754,,,
56,683,,,,0.45771658420562744,0.45771661400794983,-0.5723738670349121
56,683,0.9606160521507263,0.9606161713600159,-4.846835613250732,,,
57,695,,,,0.4499620497226715,0.4499620497226715,-0.5231615304946899
57,695,0.980629026889801,0.9806290864944458,-4.712337017059326,,,
58,707,,,,0.44490665197372437,0.444906622171402,-0.4816555976867676
58,707,0.8803420662879944,0.8803421258926392,-4.529974460601807,,,
59,719,,,,0.44146329164505005,0.44146332144737244,-0.4555000364780426
59,719,0.8954334259033203,0.8954333662986755,-4.6876349449157715,,,
60,731,,,,0.4411294162273407,0.4411294162273407,-0.4428480267524719
60,731,0.9884194135665894,0.9884194731712341,-5.0286784172058105,,,
61,743,,,,0.4391126334667206,0.43911266326904297,-0.41872045397758484
61,743,0.8878555297851562,0.8878555297851562,-4.8730645179748535,,,
62,755,,,,0.43661949038505554,0.43661952018737793,-0.39228859543800354
