epoch,step,train_loss,train_mse,train_r2,validation_loss,validation_mse,validation_r2
0,11,,,,1.7191121578216553,1.7191121578216553,-4.950911045074463
0,11,2.8627264499664307,2.8627264499664307,-10.483131408691406,,,
1,23,,,,1.196946620941162,1.196946620941162,-3.126988172531128
1,23,1.9230821132659912,1.9230821132659912,-6.117856502532959,,,
2,35,,,,0.9075985550880432,0.9075985550880432,-2.1944494247436523
2,35,1.439376711845398,1.439376950263977,-4.572487831115723,,,
3,47,,,,0.7027423977851868,0.7027423977851868,-1.2628288269042969
3,47,1.1604021787643433,1.1604021787643433,-3.819603681564331,,,
4,59,,,,0.5548887848854065,0.5548887848854065,-0.6385332942008972
4,59,0.9659330248832703,0.9659330248832703,-3.0203521251678467,,,
5,71,,,,0.45826423168182373,0.4582642614841461,-0.2878316342830658
5,71,0.7729344964027405,0.7729344964027405,-2.0994207859039307,,,
6,83,,,,0.4178833067417145,0.41788333654403687,-0.15960673987865448
6,83,0.6493684649467468,0.6493684649467468,-1.9568560123443604,,,
7,95,,,,0.4081306457519531,0.4081306457519531,-0.06328342109918594
7,95,0.525830090045929,0.5258302092552185,-1.598393201828003,,,
8,107,,,,0.40163835883140564,0.40163832902908325,-0.01482770498842001
8,107,0.5495754480361938,0.5495754480361938,-1.6021312475204468,,,
9,119,,,,0.4169800877571106,0.4169800877571106,-0.02746119536459446
9,119,0.5122627019882202,0.5122627019882202,-1.9681313037872314,,,
10,131,,,,0.4082878828048706,0.408287912607193,-0.052121855318546295
10,131,0.49591150879859924,0.49591150879859924,-1.5069211721420288,,,
11,143,,,,0.41107672452926636,0.41107672452926636,-0.016512621194124222
11,143,0.4886466860771179,0.4886466860771179,-1.3858613967895508,,,
12,155,,,,0.40713080763816833,0.4071308374404907,-0.03412478044629097
12,155,0.5208714604377747,0.5208714008331299,-1.5048006772994995,,,
13,167,,,,0.380957692861557,0.3809577226638794,-0.0033672333229333162
13,167,0.47869354486465454,0.47869354486465454,-1.4094659090042114,,,
14,179,,,,0.41465461254119873,0.41465461254119873,-0.059145737439394
14,179,0.46790820360183716,0.46790823340415955,-1.5375722646713257,,,
15,191,,,,0.30378133058547974,0.30378133058547974,0.004767084028571844
15,191,0.4373984634876251,0.4373984634876251,-1.3109288215637207,,,
16,203,,,,0.2777414917945862,0.2777414917945862,-0.05227334424853325
16,203,0.4305987060070038,0.430598646402359,-1.544480562210083,,,
17,215,,,,0.23040635883808136,0.23040637373924255,0.012830805964767933
17,215,0.3973788321018219,0.3973788619041443,-1.1768443584442139,,,
18,227,,,,0.2131679505109787,0.2131679654121399,0.01853076182305813
18,227,0.37576332688331604,0.3757633864879608,-1.1798423528671265,,,
19,239,,,,0.31249797344207764,0.31249797344207764,-0.08209025859832764
19,239,0.3941381275653839,0.3941381573677063,-1.658510446548462,,,
20,251,,,,0.24866124987602234,0.24866126477718353,0.0035006285179406404
20,251,0.40384677052497864,0.40384677052497864,-1.521765112876892,,,
21,263,,,,0.20323753356933594,0.20323754847049713,0.03507604822516441
21,263,0.3557453453540802,0.3557453751564026,-1.227087378501892,,,
22,275,,,,0.19013278186321259,0.19013278186321259,0.10191469639539719
22,275,0.32937976717948914,0.3293798267841339,-1.0894745588302612,,,
23,287,,,,0.2179156243801117,0.2179156243801117,0.0870741605758667
23,287,0.32250043749809265,0.32250043749809265,-1.0065377950668335,,,
24,299,,,,0.17744435369968414,0.17744435369968414,0.08097093552350998
24,299,0.2918091416358948,0.29180917143821716,-1.119025468826294,,,
25,311,,,,0.17513255774974823,0.17513254284858704,0.10619085282087326
25,311,0.29714488983154297,0.2971448302268982,-0.8162439465522766,,,
26,323,,,,0.1698310226202011,0.1698310226202011,0.17162393033504486
26,323,0.30676189064979553,0.30676189064979553,-0.8049074411392212,,,
27,335,,,,0.16153335571289062,0.16153335571289062,0.15079770982265472
27,335,0.27820029854774475,0.27820029854774475,-0.8973175883293152,,,
28,347,,,,0.1555456519126892,0.1555456519126892,0.1542028933763504
28,347,0.2811216413974762,0.2811216115951538,-1.0110353231430054,,,
29,359,,,,0.17469806969165802,0.17469806969165802,0.20110201835632324
29,359,0.3033316433429718,0.3033316433429718,-1.3929179906845093,,,
30,371,,,,0.14843955636024475,0.14843954145908356,0.1989242136478424
30,371,0.2744581401348114,0.2744581699371338,-0.8279229998588562,,,
31,383,,,,0.1637638509273529,0.1637638658285141,0.13861316442489624
